ID	Type	Title	Games	Authors	Date	Tags	Description	Update	Embed	URL										
p4moddableundub	Mod	Persona 4 Moddable Undub	P4	ShrineFox	10/23/2017	Voice	"This is another version of the original Undub mod for Persona 4, except rebuilt using the Mod Compendium. The game should be the exact same as the previous undub while supporting mods using the new tools."	 	https://i.imgur.com/dEkK5uO.png	https://drive.google.com/open?id=13lvyQTOtdlOlussIFEKkG57ilfVcESYE										
p3moddableundub	Mod	Persona 3 Moddable Undub	P3FES	ShrineFox	10/23/2017	Voice	"This is another version of the original Undub mod for Persona 3 FES, except rebuilt using the Mod Compendium. The game should be the exact same as the previous undub while supporting mods using the new tools."	 	https://i.imgur.com/dEkK5uO.png	https://drive.google.com/open?id=1I8OM1jlKweQY0ylo8zxWZvw6evZS9DHd										
p4d-dante	Mod	Dante Over Narukami	P4D	TGE	11/22/2017	Player	Replaces Yu Narukami's Winter Uniform with <br>Dante from DMC's model from SMT: Nocturne.	 	https://www.youtube.com/watch?v=4NTsHQLXw2w	https://drive.google.com/open?id=1Hi6jViUv303plm6uZTtnY9dfUZBPSrCe										
partycontrol	Mod	P3 Controllable Party Members	P3FES	"TGE, Warrior250"	10/18/2020	QoL	"This cheat code allows you to take control of your party members during their turn, just like in Persona 3 Portable and Persona 4. <br>See <a href=""https://amicitia.github.io/guides/p3-p4/cheats"">this guide</a> for how to use pnach files."	"<b>Update 10/18/2020</b>: Thanks to Warrior250, here is a version of TGEnigma's Controllable Character Mod that retains regen abilities. It allows access to the in battle Persona Change menu for everyone, but this can easily be ignored."	https://www.youtube.com/watch?v=rS_YQ7wPhvY	https://mega.nz/file/qG5QgILR#JBrOyH6pjTRztGVXfCejjfanFnFlYmpiDtn3duHFnus										
waluigi	Mod	Waluigi over Ryuji	P5	ShrineFox	3/13/2018	"Voice, Party"	Replaces Ryuji's battle model and voices with Waluigi.	 	https://www.youtube.com/watch?v=mdVh7OzLc_k	https://drive.google.com/file/d/1nGhcH1y_jBFanTAN37M3Z4jnUTfmbqhC/view										
woomy	Mod	Woomy Mod	P5	ShrineFox	3/15/2018	"Voice, Party"	"Replaces most of Futaba's sounds, models and graphics with an Inkling."	 	https://www.youtube.com/watch?v=MgYOeIjSFXg	https://drive.google.com/file/d/1efbSzTm1EsT-B3kWpquROWaCSsBfDmCy/view										
p4d-femc	Mod	FEMC Over Rise	P4D	"Kiyo_Pen, ShrineFox"	4/3/2018	Player	"This mod replaces Rise's Gekkoukan Uniform outfit with <br>the female protagonist of P3P. Custom model made <br>by <a href=""https://twitter.com/Kiyo_pen"">Kiyo_pen</a>."	 	https://www.youtube.com/watch?v=lz-jq9WtfOY	https://drive.google.com/open?id=1PUGI1xkcsGKqB-3puozPKn3uUmYpdy1t										
p4d-weedyosuke	Mod	Weed Yosuke	P4D	ShrineFox	4/20/2018	Player	Replaces Yosuke Hanamura's winter outfit. <br>Featuring Yuki Mishima T-posing as <br>a replacement for Yu's Featherman <br>costume.	 	https://www.youtube.com/watch?v=yr2i5qiMrHY	https://drive.google.com/open?id=1yivv7S8DuZkn-4nMcxP0mHj8IS-Cg3G0										
p3pundub	Mod	P3P Undub	P3P	ShrineFox	5/3/2018	Voice	Replaces voice clips with the Japanese equivalents.	 	 	https://drive.google.com/open?id=1gftTr_yLgKGUEVVwtLQ-cpqPhgkAgLkR										
p3ddoorkun	Mod	Door-Kun	P3D	ShrineFox	6/2/2018	Player	You already know who it is.	 	https://www.youtube.com/watch?v=dchE8qMy22I	https://drive.google.com/open?id=1Yfvs3otKAtsWwk8cB6Q4sq9J49ad3V9P										
p5dchairkun	Mod	Chair-Kun	P5D	ShrineFox	6/3/2018	Player	You already know who it is.	 	https://www.youtube.com/watch?v=q1ARjzOzEaA	https://drive.google.com/open?id=1eJMWuqf9EEmqWP6JalCClhCQSU-9Vn0-										
iwatodaidorm	Mod	Iwatodai Dorm	P5	DeathChaos	6/11/2018	Fields	Replaces unused field f000_100 with a model of Iwatodai dormitory	 	https://www.youtube.com/watch?v=fC2PCVjIIC4	https://cdn.discordapp.com/attachments/410951708274065409/455808271136063488/Iwatodai_Dorm.7z										
p5d02	Mod	Zero Two Costume for Futaba	P5D	ShrineFox	6/28/2018	Player	"Zero Two Costume for Futaba Zero Two costume from Darling in the Franxx. Model created by <a href=""https://www.deviantart.com/chiba-taiki/art/MMD-Zero-Two-745972645"">Chiba-Taiki</a>"	 	https://www.youtube.com/watch?v=ihuRbOuaaaU	https://drive.google.com/file/d/1NJ3iinM-vy8dHEC1YPcf9H9iAsRW4tYt/view?usp=sharing										
p3reincarnation	Mod	P3 Reincarnation (Alt BGM Mod)	P3FES	Robot_Gerbil	6/30/2018	BGM	A mod that replaces some of the OST tracks with new official arrangements released after the game.	 	https://www.youtube.com/watch?v=HZ9Pmt50wGs	http://www.mediafire.com/file/2ons7c927n522nc/P3FES+Reincarnation.zip										
p3preincarnation	Mod	P3P Reincarnation (Alternate OST)	P3P	Robot_Gerbil	6/30/2018	BGM	A mod that replaces some of the OST tracks with new official arrangements.	 	https://www.youtube.com/watch?v=KqlTWCmVbFk	http://www.mediafire.com/file/in0h6md1xngua4j/P3P+Reincarnation.zip										
fusableloki	Mod	Fusable Loki	P5	yangster	7/9/2018	Persona	"With this mod, you can unleash the potential of Akechi's original persona, Loki, by fusing him. I've added lots of secrets and surprises when you level him up, so I hope that you'll enjoy this mod if you've already beaten the game."	 	https://www.youtube.com/watch?v=73KMa_JEncc	https://drive.google.com/file/d/1vdrAkQTzINouX1elqPSeNyPqdlMbdS7H/view										
nopausemodel	Mod	No MC in Pause Menu	P5	Crowpocalypse	7/11/2018	UI	Placeholder for mods that use custom models for the MC.	 	https://www.youtube.com/watch?v=juLelxojM2I	https://mega.nz/#!nPoQRYhC!yRG55NLz2bB6CIPey5Ggv2V5QwyhAMJrbeFAF4p5TEo										
kaleidoscope	Mod	Kaleidoscope Removal	P5	Alan3D	8/13/2018	UI	Removes the spinning kaleidoscope border inside Palaces and Mementos.	 	https://i.imgur.com/SudeHYT.gif	https://cdn.discordapp.com/attachments/476948670957355020/478740038184861697/Kaleidoscope_removal.rar										
p3font	Mod	Persona 3 Font For P5	P5	Alan3D	8/14/2018	"Font, UI"	A port of the font from P3FES to P5. Looks best at increased resolution scales.	 	https://cdn.discordapp.com/attachments/476948670957355020/478710544413622292/unknown.png	https://cdn.discordapp.com/attachments/476948670957355020/478832074615291925/Persona_3_Font_1.1.zip										
aoabase	Mod	Custom All Out Attack Base + Tutorial	P5	Alan3D	8/16/2018	"UI, Templates"	P3MC replacement for Joker in his All-Out-Attack + Tutorial on how to do one yourself!	 	https://66.media.tumblr.com/c3f99e21c7edb1df53e7f2fa02117621/tumblr_inline_pl680q6yWy1rp7sxh_500.gif	https://cdn.discordapp.com/attachments/410951708274065409/479834026597679105/All-Out-Attack_Mod.rar										
p3freecam	Mod	P3 Free Camera	P3FES	ShrineFox	8/17/2018	QoL	Unlimited camera control on every map.	 	https://www.youtube.com/watch?v=JZwGpgCAvso	https://drive.google.com/file/d/1bbBJXFkPZjOlKUzL-HtIwdCBd428K6JW/view?usp=sharing										
rngaffinities	Mod	Randomized Affinities	P5	yangster	8/18/2018	"Enemies, Persona"	Randomized affinities for Personas and enemies	 	https://www.youtube.com/watch?v=RHt0V9uGCa4	https://cdn.discordapp.com/attachments/410951708274065409/480581290790486016/Randomized_Affinites.zip										
p4g-mod-menu	Mod	P4 Custom Sub Menu	P4	"Sierra, ShrineFox, Tekka, Rudiger, Tupelov, AnimatedSwine37"	3/7/2021	Script	"<b>Notable Features</b>:<br>- Choose a Field, Dungeon Floor, Battle, Event, Cutscene, BGM Track, Dungeon or Facility to load<br>- Toggle individual bitflags or entire ranges of them<br>- Change the in-game date and time<br>- Change your rank with any confidant, add money or items<br><b>Optional Extensions</b>:<br>- QuickTravelPlus (extended quicktravel options in Yasogami High and around the town of Inaba)- SaveAnywhere by Tupelov<br>- FindAFriend by AnimatedSwine37<br>- IntroSkip (In-game option to skip the long introduction events of the game by starting at 4/20)"	"<b>Update 3/7/2020:</b> Added Intro Skip mod, updated Find A Friend"	https://raw.githubusercontent.com/ShrineFox/Persona-4-Golden-Mod-Menu/main/Screenshots/modmenu.gif	https://github.com/Amicitia/P4-PS2-Custom-Sub-Menu/releases										
p4freecam	Mod	P4 Free Camera	P4	ShrineFox	8/27/2018	QoL	Unlimited camera control on every map.	 	https://www.youtube.com/watch?v=rH9_0vCV2Ys	https://drive.google.com/file/d/1vGd-VA-AxG_-bxN7TVgdDAUHII7iPP1d/view?usp=sharing										
p5custombgm	Mod	P5 Custom Music Edition	P5	HiroSaijo	9/10/2018	BGM	"A mod that changes many of the tracks in not only the main OST, but also changes all the costume DLC battle themes. <a href=""https://amicitiamods.jcink.net/index.php?showtopic=4"">Track List</a>"	 	https://preview.ibb.co/mUyxc9/persona_5_logo_by_franz888_d8gtp7s.jpg	https://drive.google.com/file/d/111rr-d95VSRfkcMUeYFyZ56z7o6iCw8U/view										
p3psapphofemc	Mod	Sappho Mod (gay FeMC)	P3P	WhiteLightning	9/23/2018	"Text, Scripts, Events"	"This mod replaces the last few ranks of the Priestess, Empress, and Lovers social links for the FeMC with the corresponding ones from the MMC."	 	https://i.imgur.com/orbLqAM.png	https://drive.google.com/file/d/1O-ldW0G5rtCmwT0s7Aj1fdqLkoSTwHvQ/view										
p4reincarnation	Mod	P4 Reincarnation (Alt BGM Mod)	P4	Robot_Gerbil	10/7/2018	BGM	A mod that replaces most of the OST tracks with new official arrangements released after the game.	 	 	http://www.mediafire.com/file/0881p0hu7ja5cq5/P4+Reincarnation+Mod.zip										
fullmoonlight	Mod	P3 Full Moonlight	P3FES	Robot_Gerbil	10/7/2018	"BGM, Cutscenes"	A combination of the Rebirth Cutscenes (P3 movie scenes adapted to original game cutscene dub) and Reincarnation BGM mods (alternate OST).	 	https://www.youtube.com/watch?v=NN_-0Pbp6ss	http://www.mediafire.com/file/sbveyyb28odwbs7/Full+Moonlight+1.1.zip										
rebirthcutscenes	Mod	Rebirth Cutscenes	P3FES	Robot_Gerbil	10/7/2018	Cutscenes	This mod replaces almost all cutscenes in P3 FES The Journey with entirely new ones. Edited together using clips from the Persona 3 Movie series and audio from the original English dub of the game.	 	https://www.youtube.com/watch?v=HZ9Pmt50wGs	http://www.mediafire.com/file/h42f6vahi5ecfgh/Persona+3+Rebirth+Cutscenes+%5B1.1%5D.zip										
p5dusa	Mod	P5D USA Asset Patch	P5D	DeathChaos	1/1/2019	"Voice, UI"	Patch for the Japanese version of P5D with the English assets from the Western Version. You need rePatch and the latest game update (1.03) to run them. Readme included!	 	https://cdn.discordapp.com/attachments/476948840063434752/519565462699507713/unknown.png	https://drive.google.com/file/d/1BWyejI9nHdmyERWJWdVUBv73UKCLZYQg/view										
p3dusa	Mod	P3D USA Asset Patch	P3D	DeathChaos	1/1/2019	"Voice, UI"	Patch for the Japanese version of P3D with the English assets from the Western Version. You need rePatch and the latest game update (1.03) to run them. Readme included!	 	https://cdn.discordapp.com/attachments/476948840063434752/519565462699507713/unknown.png	https://drive.google.com/file/d/1XiyrpV4twR60VetYbPbm79Lhk8kbrC5h/view										
evttesting	Mod	EVT Testing Mod	P5	TGE	1/1/2019	"Event, GUI"	Edit prebuild.bat with the proper paths to EVTTool and PAKPack in order to automatically compile edited event JSONs and test the results before the title screen even loads.	 	https://images-ext-2.discordapp.net/external/oLhF5D_o1ydrjRQPP41VewyB0I7mHcQRm5SUs3kGiZM/https/puu.sh/ADTz6.png?width=994&height=559	https://cdn.discordapp.com/attachments/450598503530627094/451232704999063553/EVT_testing.7z										
fieldhoodie	Mod	MC Hoodie for Field Outfitss	P5	TerraWing	1/11/2019	Player	This mod replaces the MC's casual outfits and school uniforms with the hoodie from later in the game. The outfit is retextured for the school uniforms to match up with the default look.	 	https://i.imgur.com/ZkBGS9W.jpg	https://drive.google.com/file/d/1EIs0oSGqs-FhrxERSFsqV54nmV_PIL89/view										
akechidate	Mod	Akechi Valentine's Day Date	P5	"rover, yangster"	2/15/2019	Events	This is a demo for a gay romance mod that is still in progress.	 	https://www.youtube.com/watch?v=NHy3TTAj-Fw	https://cdn.discordapp.com/attachments/410951708274065409/545867401909108748/Akechi_Valentines_Day_Date.zip										
bustupfix	Mod	Scalable/Redrawn Bustups (RPCS3 Fix)	P5	"lipwig, AEBus, Gink"	2/17/2019	"Bustups, RPCS3, UI"	"This mod fixes the notorious bustup scaling issue for P5 on RPCS3. Unlike previous iterations of this fix, this mod does not have any annoying lines appearing when a character blinks or talks. These bustups were slightly ""redrawn"" and edited, so that the problem no longer occurs."	 	https://media.discordapp.net/attachments/546718581572894730/546718684555509770/Preview__150_Res_Scale.png	https://mega.nz/#F!3m5mWADZ!otR6Ddgai6xvoFcvTVuohQ										
p5unmasked	Mod	Persona 5 Unmasked	P5	"ShrineFox, DeathChaos"	3/8/2019	"Player, Party, Bustups"	A mod that removes the masks from all party members' Phantom Thief outfits. Includes edited models and bustups. Note: Not all HUD elements have masks removed yet.	<b>Update v1.1 (3/8/2019):</b> <br>Changes courtesy of DeathChaos. Removed black face texture when using Persona skills in battle. Fixed Yusuke's hair clipping into his face.	https://www.youtube.com/watch?v=nh4VbnAOH2E	https://drive.google.com/open?id=1skaqXa1KBJYd3iOCUy6eB8u3hn6IS1uO										
altmodels	Mod	Alternate Battle Models	P5	ShrineFox	3/10/2019	"Player, Party"	A pack of replacement battle models that really should have been DLC.	<b>Update v1.1 (3/10/2019):</b> <br>Fixes a crash when entering battle using the Beta Protagonist outfit. Adds the hoodie to the protagonist's battle outfits.	https://www.youtube.com/watch?v=P_-S1_4YOYM	https://drive.google.com/file/d/1Pie_ynEMpDLH5dm2d_9DT4kaLuEBBEGY/view										
p5botw	Mod	Playable Link (BotW)	P5	Ruined	3/11/2019	"Player, UI"	This mod will let you play as Link from Breath of the Wild.<br>Specifically it replaces all of Jokers models with 5 Models of Link. It also replaces various images of Joker with Link.	 	https://www.youtube.com/watch?v=YrgB3RYxnF8	http://www.mediafire.com/file/dhotwpwkapqawpg/Link+%28BotW%29.rar										
p3dfemc	Mod	FeMC over Fuuka	P3D	DeathChaos	3/22/2019	Player	"Replaces Fuuka's default appearance with FeMC from P3P. Shoutout to <a href=""https://www.deviantart.com/jinsters/art/Female-Protagonist-Persona-3-SEES-Outfit-DL-763303975"">Jinsters</a> on DeviantArt for the hair and headphones models."	 	https://www.youtube.com/watch?v=FN7MydH0nqQ	https://drive.google.com/open?id=1oLGUSQUpa9kVzrZ2fTFDdmvgzHLv8wh9										
p5-kh	Mod	346/3 Days	P5	Ruined	4/22/2019	"Player, Party, UI"	"This is a Kingdom Hearts themed mod that replaces Joker, Ryuji, Morgana (Metaverse), and Ann with Roxas, Lea, Moogle XIII, and Xion. Most of the characters art have been replaced and 22 songs have been replaced with Kingdom Hearts songs..<br><br>Thanks to LexaKiness for Roxas, Lea, and Xion's models. Thanks to Zerox for the Moogle XIII model."	 	https://www.youtube.com/watch?v=f1i_v16xO3I	http://www.mediafire.com/file/w41dz1bn2ad0pe1/346+Days+Over+3.rar										
aoa-testing	Mod	All-Out-Attack Testing Mod	P5	ShrineFox	4/23/2019	Script	This should make it a snap to quickly test changes to All Out Attack renders for any character. <br>1. Edit prebuild.bat with the paths to PAKPack and AtlusScriptCompiler <br>2. Edit this mod's Data/field/fini_000_002.bf.flow according to which party members you want (should be fairly straightforward) <br>3. Build the mod from the Mod Compendium and it will automatically compile the BF and repack the PAC!	 	https://cdn.discordapp.com/attachments/410951708274065409/570408242031755265/unknown.png	https://cdn.discordapp.com/attachments/410951708274065409/570408253503176704/AoA_Testing_Mod.7z										
pq2-bgm	Mod	PQ2 BGM	P3FES	A-NB	4/24/2019	Sound	A small mod that replaces a few FES bgm tracks with music from PQ2.	 	 	https://www.dropbox.com/s/tb0fsd4qkozeqxh/PQ2%20Audio%20%280.5%29.zip										
p5espanolfuente	Mod	Español font for P5	P5	Alan3D	5/21/2019	"Font, Translation"	Mod that adds special spanish characters to the P5 font for spanish translated mods	 	https://media.discordapp.net/attachments/410951708274065409/580247142212304940/unknown.png	https://cdn.discordapp.com/attachments/410951708274065409/580247184197287957/Fuente_en_espanol_para_P5.7z										
pq2mcnamepatch	Mod	PQ2 MC Name Patch	PQ2	DeathChaos	5/26/2019	Player Name	"A set of assembly patches (patched in thanks to Magikoopa) for Persona Q2 (USA) that patches out the player name functions to allow the longer ""canon"" names that normally the player cannot fit into the name input box such as Yu Narukami to display via hardcoded name calls the same way other characters do."	 	https://i.imgur.com/6oTWYT7.png	https://github.com/DeathChaos25/PQ2_MC_Name_Patch/releases										
